id:ID,name,:LABEL,parent
b0_c0_171,small incision lenticule extraction,别名,b0_c0_195
b0_c0_172,SMILE,别名,b0_c0_195
b0_c0_173,小孔成像,疾病,b0_c0_220
b0_c0_174,光沿直线传播,病因,b0_c0_173
b0_c0_175,病因,疾病,b0_c4_23
b0_c0_176,瞳孔,解剖结构,b0_c3_65
b0_c0_177,球结膜,解剖结构,b0_c0_54
b0_c0_178,眼肌,解剖结构,
b0_c0_179,内眦,解剖结构,
b0_c0_180,外眦,解剖结构,
b0_c0_181,眼解剖结构,解剖结构,
b0_c0_182,简化眼,解剖结构,
b0_c0_183,金针拨障术,手术,
b0_c0_184,金针拨内障,手术,
b0_c0_185,白内障摘除联合人工晶状体植入术,手术,b2_c3_997
b0_c0_186,标准小梁切除术,手术,b0_c0_226
b0_c0_187,超声乳化白内障吸除术,手术,b0_c0_227
b0_c0_188,眼科显微手术,手术,
b0_c0_189,玻璃体切割技术,手术,b0_c10_1019
b0_c0_190,玻体视网膜手术,手术,b5_c2_40
b0_c0_191,准分子激光角膜切削技术,手术,b0_c16_783
b0_c0_192,准分子激光屈光性角膜切削术,手术,b0_c0_166
b0_c0_193,准分子激光原位角膜磨镶术,手术,b7_c10_69
b0_c0_194,准分子激光上皮瓣下角膜磨镶术,手术,
b0_c0_195,飞秒激光小切口基质微透镜取出术,手术,b0_c4_208
b0_c0_196,老视,症状和体征,
b0_c0_197,药物,药品,b0_c0_79
b0_c0_198,眼科药物,药品,b0_c0_197
b0_c0_199,人工晶状体,药品,b1_c10_1467
b0_c0_200,抗血管内皮生长因子,药品,b0_c11_1275
b0_c0_201,bevacizumab,药品,b1_c10_1689
b0_c0_202,ranibizumab,药品,b1_c10_1865
b0_c0_203,本草纲目,药物治疗,
b0_c0_204,秘传眼科全书,基础治疗,
b0_c0_205,原机启微,基础治疗,b0_c0_222
b0_c0_206,眼视光,基础治疗,
b0_c0_207,眼免疫,基础治疗,
b0_c0_208,眼病理,基础治疗,
b0_c0_209,神经眼科学,基础治疗,
b0_c0_210,临床经验,诊断方案,b0_c0_205
b0_c0_211,病理研究,诊断方案,b0_c0_205
b0_c0_212,裂隙灯显微镜,诊断方案,b0_c1_500
b0_c0_213,检眼镜,诊断方案,b0_c3_258
b0_c0_214,双目间接检眼镜,诊断方案,b0_c3_251
b0_c0_215,荧光素眼底血管造影技术,诊断方案,b0_c0_60
b0_c0_216,电生理诊断技术,诊断方案,
b0_c0_217,超声生物显微镜,诊断方案,b0_c0_243
b0_c0_218,光学相干断层扫描,诊断方案,b0_c0_75
b0_c0_219,诺贝尔生理学或医学奖,预后情况,
b0_c0_220,墨翟,多发人群,b0_c0_161
b0_c0_221,太医局,多发人群,
b0_c0_222,倪维德,多发人群,
b0_c0_223,DechaisGendron,多发人群,
b0_c0_224,GullstrandAllvar,多发人群,
b0_c0_225,RidleyHarold,多发人群,
b0_c0_226,Carins,多发人群,
b0_c0_227,Kelman,多发人群,
b0_c0_228,Machemer,多发人群,
b0_c0_229,中华医学会眼科学分会,多发人群,
b0_c0_230,全国眼科医生,多发人群,
b0_c0_231,防盲办,多发人群,
b0_c0_232,角膜病,并发症,b0_c0_35
b0_c0_233,眼底病,并发症,
b0_c0_234,斜视与小儿眼病,并发症,b0_c0_35
b0_c0_235,眼外伤,并发症,b0_c19_387
b0_c0_236,眼眶病与整形,并发症,
b0_c0_237,全国眼科联盟,疾病,
b0_c0_238,青光眼百家联盟,疾病,b0_c0_237
b0_c0_239,真菌性角膜炎,疾病,b0_c3_155
b0_c0_240,脉络膜新生血管性疾病,疾病,b7_c3_2
b0_c0_241,近视眼,疾病,b0_c3_131
b0_c0_242,弱视,疾病,b0_c0_241
b0_c0_243,先天性白内障,疾病,b0_c1_220
b0_c0_244,小儿视网膜疾病,疾病,
b0_c0_245,沙眼衣原体,疾病,b0_c5_391
b0_c0_246,IL-23/IL-17通路,疾病,
b0_c0_247,基因突变,疾病,b0_c0_243
b0_c0_248,人类Tenon’s囊成纤维细胞,解剖结构,
b0_c0_249,诱导性多潜能干细胞,解剖结构,b0_c0_248
b0_c0_250,眼眶外科内镜导航手术系统,手术,
b0_c0_251,抗VEGF药物,药物治疗,b0_c3_529
b0_c0_252,临床,基础治疗,b0_c0_237
b0_c0_253,科研,基础治疗,b0_c0_237
b0_c0_254,国际眼科组织,基础治疗,b0_c0_35
b0_c0_255,国际眼科学会联盟,基础治疗,b0_c0_254
b0_c0_256,国际眼科理事会,基础治疗,b0_c0_254
b0_c0_257,亚太眼科学会联盟,基础治疗,b0_c0_254
b0_c0_258,亚太眼科学会,基础治疗,b0_c0_257
b0_c0_259,中华眼科杂志,诊断方案,
b0_c0_260,中华眼底病杂志,诊断方案,b0_c9_50
b0_c0_261,中华实验眼科杂志,诊断方案,b0_c0_259
b0_c0_262,中华眼外伤职业眼病杂志,诊断方案,b0_c0_259
b0_c0_263,国际眼科纵览,诊断方案,b0_c0_259
b0_c0_264,眼健康,疾病,
b0_c0_265,远视力障碍,疾病,b0_c0_264
b0_c0_266,盲人,疾病,b0_c0_264
b0_c0_267,未矫正的近视力损害,疾病,b0_c0_264
b0_c0_268,中、重度视力损害,疾病,b0_c0_264
b0_c0_269,传染性眼病,疾病,b0_c0_264
b0_c0_270,遗传性眼病,疾病,b0_c0_264
b0_c0_271,年龄相关性眼病,疾病,b0_c0_264
b0_c0_272,未矫正的屈光不正,疾病,b0_c21_2
b0_c0_273,人口老龄化,疾病,b0_c0_79
b0_c0_274,城市化,病因,b0_c0_264
b0_c0_275,眼科,解剖结构,b0_c0_35
b0_c0_276,优质服务,注意事项,b0_c0_264
b0_c0_277,成本,注意事项,b0_c0_264
b0_c0_278,人员短缺,注意事项,b0_c0_264
b0_c0_279,训练有素的人员分布不均,注意事项,b0_c0_264
b0_c0_280,设备和耗材,注意事项,b0_c0_264
b0_c0_281,医疗服务,注意事项,b0_c0_264
b0_c0_282,白内障手术,手术,b0_c9_50
b0_c0_283,慢性特质,症状和体征,b0_c0_79
b0_c0_284,管理的复杂性,症状和体征,b0_c0_79
b0_c0_285,财政投入,基础治疗,b0_c0_264
b0_c0_286,预防策略,基础治疗,b0_c0_264
b0_c0_287,全民眼健康服务,基础治疗,b0_c0_264
b0_c0_288,配戴眼镜,辅助治疗,b0_c0_272
b0_c0_289,健康宣教,辅助治疗,b0_c0_264
b0_c0_290,远程医疗,辅助治疗,b0_c0_264
b0_c0_291,移动医疗,辅助治疗,b0_c0_264
b0_c0_292,远程学习,辅助治疗,b0_c0_264
b0_c0_293,低收入和中等收入国家,多发人群,b0_c0_264
b0_c0_294,幼儿,多发人群,b0_c0_264
b0_c0_295,老年人,多发人群,b0_c0_58
b0_c0_296,妇女,多发人群,b0_c0_79
b0_c0_297,农村人口,多发人群,b0_c0_264
b0_c0_298,少数族裔群体,多发人群,b0_c0_264
b0_c0_299,中国,多发人群,b0_c7_150
b0_c0_300,中低收入国家,多发人群,b0_c0_264
b0_c0_301,高收入国家,多发人群,b0_c0_264
b0_c0_302,玻璃体和视网膜疾病,疾病,b0_c1_588
b0_c0_303,葡萄膜病,疾病,b0_c0_35
b0_c0_304,屈光不正,疾病,b0_c8_1159
b0_c0_305,眼整形,疾病,b0_c0_35
b0_c0_306,眼眶病,疾病,b0_c0_35
b0_c0_307,眼表疾病,疾病,b0_c0_239
b0_c0_308,血液病,疾病,b1_c1_36
b0_c0_309,甲状腺功能亢进,疾病,b0_c0_243
b0_c0_310,角膜软化症,疾病,b0_c0_312
b0_c0_311,原发性闭角型青光眼,疾病,b0_c0_79
b0_c0_312,维生素A缺乏,疾病,b0_c20_618
b0_c0_313,剧烈头痛,症状和体征,b0_c0_311
b0_c0_314,恶心,症状和体征,b0_c0_79
b0_c0_315,呕吐,症状和体征,b0_c0_79
b0_c1_1,发育生物学,疾病,
b0_c1_2,眼的发育生物学,疾病,b0_c1_1
b0_c1_3,眼发育异常,疾病,b0_c1_2
b0_c1_5,先天性疾病,疾病,b0_c1_3
b0_c1_6,先天性眼病,疾病,b0_c0_54
b0_c1_7,遗传基因,病因,b0_c1_2
b0_c1_8,环境因素,疾病,b0_c0_79
b0_c1_9,特定基因,病因,b0_c1_2
b0_c1_10,胚眼,解剖结构,b0_c1_2
b0_c1_11,眼球,解剖结构,b0_c0_79
b0_c1_12,多细胞,解剖结构,b0_c1_2
b0_c1_13,解剖结构,解剖结构,b0_c1_2
b0_c1_14,生理功能,解剖结构,b0_c1_2
b0_c1_15,组织细胞,解剖结构,b0_c23_930
b0_c1_16,疾病发病机制,病因,b0_c1_1
b0_c1_17,卵受精,病因,b0_c1_20
b0_c1_18,生长因子,疾病,b0_c10_822
b0_c1_19,机体生理发育,解剖结构,b0_c1_1
b0_c1_20,眼,解剖结构,b0_c0_79
b0_c1_21,胚眼发育,解剖结构,b0_c1_20
b0_c1_26,发育性眼病,疾病,
b0_c1_27,病理变化,疾病,
b0_c1_28,疾病谱系,疾病,
b0_c1_29,胚胎发育异常,疾病,
b0_c1_30,developmental biology,别名,b0_c1_1
b0_c1_31,基因,病因,b0_c0_79
b0_c1_32,细胞因子,病因,b0_c0_61
b0_c1_33,调控蛋白,病因,
b0_c1_34,激酶调控信号网络,病因,
b0_c1_35,内外致病因素,病因,
b0_c1_36,胚胎发生,解剖结构,b0_c1_1
b0_c1_37,生长发育,解剖结构,b0_c1_1
b0_c1_38,衰老死亡,解剖结构,b0_c1_1
b0_c1_39,细胞与分子调控通路,解剖结构,b0_c1_52
b0_c1_40,眼干细胞,解剖结构,b0_c1_52
b0_c1_41,出生后早期,解剖结构,
b0_c1_42,细胞增殖,解剖结构,
b0_c1_43,细胞分化,解剖结构,b0_c1_44
b0_c1_44,细胞决定,解剖结构,b0_c1_319
b0_c1_45,转决定,解剖结构,
b0_c1_46,转分化,解剖结构,b0_c1_326
b0_c1_47,生理结构,解剖结构,
b0_c1_48,功能,解剖结构,
b0_c1_49,临床表型,症状和体征,
b0_c1_50,组织病理表现,症状和体征,
b0_c1_51,干细胞治疗,药物治疗,b0_c1_1
b0_c1_52,再生医学,药物治疗,b0_c1_1
b0_c1_53,再生医学研究,药物治疗,b0_c1_40
b0_c1_54,胚胎学,基础治疗,b0_c1_1
b0_c1_55,细胞生物学,基础治疗,b0_c1_1
b0_c1_56,分子生物学,基础治疗,b0_c1_1
b0_c1_57,遗传学,基础治疗,b0_c1_1
b0_c1_58,眼发育生物学,疾病,b4_c5_71
b0_c1_59,中枢神经系统发育,疾病,b0_c1_58
b0_c1_60,胚眼的发生,疾病,b0_c1_58
b0_c1_61,基因学研究,病因,b0_c1_1
b0_c1_62,程序性细胞凋亡,病因,b0_c1_1
b0_c1_63,细胞周期调控,病因,b0_c1_1
b0_c1_64,遗传学技术,病因,b0_c1_1
b0_c1_65,机体,解剖结构,b0_c1_58
b0_c1_66,低等动物,多发人群,b0_c1_62
b0_c1_67,高等动物,多发人群,b0_c1_62
b0_c1_68,Cloquet管,别名,
b0_c1_69,神经外胚叶,解剖结构,b0_c1_156
b0_c1_70,表皮外胚叶,解剖结构,b0_c0_16
b0_c1_71,中胚叶,解剖结构,b1_c7_1035
b0_c1_72,神经板,解剖结构,
b0_c1_73,神经沟,解剖结构,
b0_c1_74,神经管,解剖结构,
b0_c1_75,神经嵴,解剖结构,b0_c1_413
b0_c1_76,前脑,解剖结构,
b0_c1_77,视沟,解剖结构,
b0_c1_78,视泡,解剖结构,b0_c0_16
b0_c1_79,视杯,解剖结构,b0_c15_366
b0_c1_80,视柄,解剖结构,
b0_c1_82,晶状体板,解剖结构,b0_c1_503
b0_c1_83,晶状体泡,解剖结构,b0_c0_16
b0_c1_85,胚裂,解剖结构,
b0_c1_86,玻璃体动脉,解剖结构,b0_c1_10
b0_c1_87,玻璃体静脉,解剖结构,
b0_c1_88,玻璃体管,解剖结构,
b0_c1_89,视网膜中央动、静脉,解剖结构,b0_c1_96
b0_c1_90,脉络膜始基,解剖结构,b0_c1_10
b0_c1_91,巩膜始基,解剖结构,b0_c1_10
b0_c1_92,晶状体始基,解剖结构,b0_c1_10
b0_c1_93,角膜上皮层,解剖结构,b0_c8_806
b0_c1_94,眼外肌始基,解剖结构,b0_c1_10
b0_c1_95,中胚层组织,解剖结构,b0_c1_10
b0_c1_96,视盘,解剖结构,b0_c0_66
b0_c1_97,晶状体上皮,解剖结构,b0_c11_970
b0_c1_98,晶状体纤维,解剖结构,b0_c10_134
b0_c1_99,囊膜,解剖结构,b5_c3_417
b0_c1_100,血管膜,解剖结构,b7_c3_2
b0_c1_101,脉络膜血管网,解剖结构,b7_c35_200
b0_c1_102,视细胞,解剖结构,b7_c20_6
b0_c1_103,瞳孔膜,解剖结构,b0_c1_10
b0_c1_104,原始玻璃体,解剖结构,b0_c0_17
b0_c1_105,视网膜各层,解剖结构,b1_c10_2713
b0_c1_106,角膜基质,解剖结构,b0_c1_413
b0_c1_107,内皮细胞,解剖结构,b0_c4_765
b0_c1_108,眼睑,解剖结构,b0_c4_307
b0_c1_109,眼外肌,解剖结构,b0_c0_61
b0_c1_110,前睫状动脉,解剖结构,b0_c1_254
b0_c1_111,后睫状动脉,解剖结构,b1_c8_15
b0_c1_112,虹膜基质,解剖结构,b0_c3_921
b0_c1_113,泪小管,解剖结构,b0_c5_270
b0_c1_114,巩膜,解剖结构,b0_c3_131
b0_c1_115,视交叉,解剖结构,b0_c3_532
b0_c1_116,视束,解剖结构,b0_c3_532
b0_c1_117,眼眶,解剖结构,b0_c0_5
b0_c1_119,眉毛始基,解剖结构,b0_c1_10
b0_c1_120,上下睑缘,解剖结构,b0_c1_10
b0_c1_121,玻璃体血管,解剖结构,b0_c1_10
b0_c1_122,第二玻璃体,解剖结构,b0_c0_17
b0_c1_123,睫状肌,解剖结构,b0_c0_79
b0_c1_124,睫状突始基,解剖结构,b0_c1_10
b0_c1_125,眼轮匝肌,解剖结构,b0_c4_681
b0_c1_126,晶状体悬韧带,解剖结构,b0_c8_537
b0_c1_127,黄斑,解剖结构,b0_c0_78
b0_c1_128,虹膜缺损,并发症,b0_c1_10
b0_c1_129,睫状体缺损,并发症,b0_c1_10
b0_c1_130,脉络膜缺损,并发症,b0_c1_10
b0_c1_131,视盘缺损,并发症,b0_c1_10
b0_c1_132,视神经管,解剖结构,b0_c3_836
b0_c1_133,上睑提肌,解剖结构,b0_c18_801
b0_c1_134,眼球筋膜囊,解剖结构,b0_c1_133
b0_c1_135,视网膜中央动脉,解剖结构,b0_c0_60
b0_c1_136,泪道,解剖结构,b0_c5_1
b0_c1_137,鼻腔,解剖结构,b0_c7_1018
b0_c1_138,黄斑部,解剖结构,b0_c3_722
b0_c1_139,睫孔膜,解剖结构,
b0_c1_140,上睑缘,解剖结构,
b0_c1_141,下睑缘,解剖结构,
b0_c1_142,晶状体血管膜,解剖结构,b0_c1_253
b0_c1_143,髓鞘,解剖结构,b0_c0_5
b0_c1_145,中外胚层,别名,b0_c1_152
b0_c1_146,外间充质,别名,b0_c1_152
b0_c1_147,视网膜色素上皮层,解剖结构,b0_c3_89
b0_c1_148,视网膜神经感觉层,解剖结构,b0_c19_1017
b0_c1_151,第三玻璃体,解剖结构,b0_c0_17
b0_c1_152,神经嵴细胞,解剖结构,b0_c0_79
b0_c1_153,外胚层,解剖结构,b1_c7_1573
b0_c1_154,中胚层间充质,解剖结构,
b0_c1_155,neuroectoderm,解剖结构,b0_c1_69
b0_c1_156,虹膜色素上皮,解剖结构,b0_c3_921
b0_c1_157,睫状体上皮,解剖结构,b2_c15_523
b0_c1_158,神经细胞,解剖结构,b0_c14_46
b0_c1_159,神经胶质细胞,解剖结构,b0_c14_46
b0_c1_160,软脑膜,解剖结构,b0_c11_1391
b0_c1_161,瞳孔括约肌,解剖结构,b2_c59_3
b0_c1_162,开大肌,解剖结构,b2_c59_3
b0_c1_163,surfacc octoderm,解剖结构,b0_c1_70
b0_c1_164,角膜上皮,解剖结构,b0_c0_69
b0_c1_165,结膜上皮,解剖结构,b0_c6_72
b0_c1_166,眼睑皮肤,解剖结构,b0_c4_754
b0_c1_167,睫毛,解剖结构,b1_c3_1810
b0_c1_168,睑板腺,解剖结构,b0_c4_162
b0_c1_169,Moll 腺,解剖结构,b0_c1_166
b0_c1_170,Zeis 腺,解剖结构,b0_c4_50
b0_c1_171,泪器上皮,解剖结构,b0_c1_70
b0_c1_172,neural crest cell,解剖结构,b0_c1_152
b0_c1_173,角膜内皮,解剖结构,b0_c3_201
b0_c1_174,小梁网,解剖结构,b0_c0_79
b0_c1_175,葡萄膜基质,解剖结构,b0_c1_152
b0_c1_176,眶骨,解剖结构,b0_c3_821
b0_c1_177,Muller 肌,解剖结构,b0_c1_152
b0_c1_179,黑色素细胞,解剖结构,b0_c4_796
b0_c1_180,神经,解剖结构,b2_c29_86
b0_c1_181,mesoderm,解剖结构,b0_c1_71
b0_c1_182,血管,解剖结构,b0_c7_376
b0_c1_183,晶状体血管囊,解剖结构,b0_c1_182
b0_c1_184,脉络膜血管,解剖结构,b1_c10_2096
b0_c1_185,睫状血管,解剖结构,b2_c89_51
b0_c1_186,其他血管,解剖结构,b0_c1_182
b0_c1_187,先天性角膜混浊,疾病,b0_c1_554
b0_c1_189,有髓鞘视神经纤维,疾病,b0_c0_5
b0_c1_190,视网膜色素上皮,解剖结构,b0_c0_75
b0_c1_191,节细胞,解剖结构,b3_c0_132
b0_c1_192,水平细胞,解剖结构,b0_c1_193
b0_c1_193,视锥细胞,解剖结构,b0_c0_80
b0_c1_194,无长突细胞,解剖结构,b7_c3_2
b0_c1_195,视杆细胞,解剖结构,b0_c24_264
b0_c1_196,双极细胞,解剖结构,b0_c1_193
b0_c1_197,Muller 细胞,解剖结构,b0_c0_79
b0_c1_198,视网膜前体细胞,解剖结构,
b0_c1_199,黄斑中心凹,解剖结构,b0_c3_1099
b0_c1_200,周边视网膜,解剖结构,b0_c3_999
b0_c1_202,睫状体,解剖结构,b0_c0_79
b0_c1_203,虹膜,解剖结构,b0_c0_79
b0_c1_205,虹膜内层上皮,解剖结构,b0_c1_203
b0_c1_206,虹膜外层上皮,解剖结构,b0_c1_203
b0_c1_207,瞳孔开大肌,解剖结构,b2_c11_2288
b0_c1_208,星形胶质细胞,解剖结构,b0_c8_1480
b0_c1_209,少突胶质细胞,解剖结构,b0_c11_102
b0_c1_210,筛板,解剖结构,b0_c0_60
b0_c1_211,初级晶状体纤维,解剖结构,b0_c1_98
b0_c1_212,次级晶状体纤维,解剖结构,b0_c1_98
b0_c1_213,晶状体核,解剖结构,b0_c10_168
b0_c1_214,晶状体缝,解剖结构,b0_c1_213
b0_c1_215,外胚叶,解剖结构,b0_c1_104
b0_c1_216,原纤维,解剖结构,b6_c5_373
b0_c1_217,玻璃体腔,解剖结构,b0_c10_760
b0_c1_218,Cloquet 管,解剖结构,b3_c0_521
b0_c1_219,神经上皮细胞,解剖结构,
b0_c1_220,先天性青光眼,疾病,b0_c0_79
b0_c1_221,青光眼综合征,疾病,b0_c1_220
b0_c1_222,midface,别名,
b0_c1_223,迁移异常,病因,b0_c1_152
b0_c1_224,分化异常,病因,b0_c1_152
